Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Leader and District Integrated Healthcare Facility (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.3,per 100,7.90,21.07,-,No,,,,-,-,Rural/remote,Community—Small,Medium,"Data previously attributed to Leader Primary Care (Sask.) and Western Senior Citizens Home (Sask.) will now be attributed to Leader and District Integrated Healthcare Facility (Sask.) as of September 27, 2018. Please interpret trends with caution.","October 14, 2025"
Nipigon District Memorial Hospital (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.3,per 100,7.99,20.74,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Port McNeill and District Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.3,per 100,9.16,18.68,-,No,Same as average performance,No change,Not a top result,-,23.4,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Russell Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.3,per 100,10.61,16.38,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Tofino General Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.3,per 100,9.55,17.92,-,No,Same as average performance,No change,Not a top result,-,29.9,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Grande Cache Community Health Complex (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.9,per 100,10.44,20.63,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kerrobert and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.9,per 100,8.53,24.24,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Norway House Hospital (Man.),Manitoba,Northern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.9,per 100,10.20,21.05,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Porcupine Carragana Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.9,per 100,7.93,25.50,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Northern Haida Gwaii Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16.2,per 100,9.91,25.06,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
