Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.48,10.71,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.49,10.79,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.45,10.72,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.58,10.70,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.55,11.94,-,No,,,,-,-,0.6,-22.7,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.08,14.20,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.30,15.82,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.06,14.37,-,No,,,,-,-,2.3,59.5,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.69,11.68,-,No,,,,-,-,1.3,26.8,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.26,13.84,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.95,12.64,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.60,10.68,-,Yes,,,,-,-,1.1,5.9,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.61,10.69,-,No,,,,-,-,1.0,-1.1,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.07,11.33,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.89,11.49,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.93,11.49,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.90,11.41,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.95,11.43,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.47,10.75,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.03,11.31,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.97,11.25,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.01,11.31,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.01,11.37,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.05,14.19,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.84,14.56,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.19,10.99,-,No,,,,-,-,1.0,-5.2,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.53,11.92,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.47,12.02,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.57,11.93,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.28,12.26,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Algoma Public Health (Ont.),Ontario,Algoma Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.39,13.74,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.26,13.92,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Central Zone (N.S.),Nova Scotia,Central Zone (N.S.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.85,12.90,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.74,14.70,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.28,15.73,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
East Region (Ont.),Ontario,East Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.18,11.09,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.32,13.68,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.29,12.35,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.32,13.79,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Haldimand–Norfolk Health Unit (Ont.),Ontario,Haldimand–Norfolk Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.79,14.86,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.42,15.64,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.34,12.06,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.31,15.73,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Shore/Coast Garibaldi HSDA (B.C.),British Columbia,North Shore/Coast Garibaldi HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.25,13.79,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Zone (Alta.),Alberta,North Zone (Alta.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.78,13.12,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.04,14.15,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.02,12.70,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.25,12.36,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.47,13.41,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.02,14.29,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.86,11.50,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.86,11.50,-,No,Same as average performance,No change,Not a top result,-,-,-,-,185.9,-,-,-,-,"October 20, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.51,13.45,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
West Region (Ont.),Ontario,West Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.37,10.93,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
York Region Public Health (Ont.),Ontario,York Region Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.35,12.09,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.42,15.66,-,No,Same as average performance,No change,Not a top result,-,-,-,-,15.6,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,11.11,12.24,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.39,16.01,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.56,14.27,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.21,14.79,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.45,16.01,-,No,,,,-,-,1.4,12.1,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.86,15.39,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.86,15.20,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.57,14.13,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.68,14.01,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,10.19,13.39,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,10.82,12.58,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.90,15.26,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.81,15.42,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.07,14.95,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.52,15.85,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.33,16.22,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,6.63,19.92,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.53,15.77,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.04,16.88,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,11.47,13.40,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.87,15.52,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.63,14.38,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,11.57,13.27,-,Yes,,,,-,-,1.5,19.5,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.41,14.67,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.46,16.00,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.38,16.29,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.75,14.26,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.30,16.22,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Vancouver Coastal Health (B.C.),British Columbia,Vancouver Coastal Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.41,14.74,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,8.87,16.17,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,8.40,16.91,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
